Time	x1	y1	x2	y2
0	1	-1	1.5	-2
0.01	0.999485	-1.00052	1.49967	-2.00044
0.02	0.998443	-1.00156	1.49899	-2.00129
0.03	0.996879	-1.00312	1.49798	-2.00258
0.04	0.994791	-1.0052	1.49663	-2.00428
0.05	0.992177	-1.00778	1.49493	-2.0064
0.06	0.989034	-1.01087	1.49289	-2.00894
0.07	0.985359	-1.01445	1.49049	-2.01188
0.08	0.981147	-1.01853	1.48774	-2.01521
0.09	0.976395	-1.02309	1.48463	-2.01894
0.1	0.971098	-1.02813	1.48115	-2.02305
0.11	0.965252	-1.03362	1.4773	-2.02752
0.12	0.958851	-1.03957	1.47306	-2.03235
0.13	0.951891	-1.04595	1.46844	-2.03752
0.14	0.944366	-1.05276	1.46342	-2.04301
0.15	0.936272	-1.05997	1.45799	-2.04882
0.16	0.927603	-1.06757	1.45215	-2.05493
0.17	0.918356	-1.07555	1.44588	-2.06132
0.18	0.908527	-1.08387	1.43917	-2.06796
0.19	0.898112	-1.09252	1.43202	-2.07485
0.2	0.887109	-1.10149	1.42441	-2.08197
0.21	0.875516	-1.11073	1.41633	-2.08928
0.22	0.863332	-1.12024	1.40777	-2.09678
0.23	0.850558	-1.12998	1.39871	-2.10443
0.24	0.837196	-1.13992	1.38915	-2.11223
0.25	0.823248	-1.15004	1.37907	-2.12015
0.26	0.808721	-1.16031	1.36847	-2.12816
0.27	0.79362	-1.1707	1.35733	-2.13625
0.28	0.777954	-1.18118	1.34563	-2.1444
0.29	0.761733	-1.19171	1.33338	-2.15258
0.3	0.74497	-1.20227	1.32057	-2.16078
0.31	0.727678	-1.21282	1.30718	-2.16898
0.32	0.709873	-1.22334	1.2932	-2.17716
0.33	0.691574	-1.23378	1.27864	-2.18531
0.34	0.6728	-1.24413	1.26348	-2.19341
0.35	0.653573	-1.25434	1.24773	-2.20146
0.36	0.633916	-1.26439	1.23138	-2.20943
0.37	0.613854	-1.27426	1.21442	-2.21732
0.38	0.593414	-1.28391	1.19687	-2.22512
0.39	0.572621	-1.29332	1.17872	-2.23283
0.4	0.551506	-1.30247	1.15998	-2.24045
0.41	0.530097	-1.31133	1.14064	-2.24796
0.42	0.508424	-1.31989	1.12072	-2.25537
0.43	0.486517	-1.32812	1.10023	-2.26268
0.44	0.464407	-1.33601	1.07916	-2.26988
0.45	0.442126	-1.34355	1.05753	-2.27699
0.46	0.419704	-1.35072	1.03535	-2.284
0.47	0.397171	-1.35752	1.01263	-2.29092
0.48	0.37456	-1.36393	0.989376	-2.29776
0.49	0.351899	-1.36995	0.965604	-2.30451
0.5	0.329218	-1.37557	0.941323	-2.31118
0.51	0.306549	-1.3808	0.916547	-2.31778
0.52	0.283918	-1.38563	0.891286	-2.32432
0.53	0.261355	-1.39006	0.865554	-2.3308
0.54	0.238889	-1.39409	0.839362	-2.33721
0.55	0.216545	-1.39773	0.812723	-2.34358
0.56	0.194351	-1.40099	0.785648	-2.3499
0.57	0.172334	-1.40386	0.75815	-2.35617
0.58	0.150517	-1.40636	0.73024	-2.3624
0.59	0.128928	-1.4085	0.701929	-2.36858
0.6	0.107588	-1.41029	0.67323	-2.37473
0.61	0.0865236	-1.41173	0.644153	-2.38084
0.62	0.0657559	-1.41285	0.614708	-2.3869
0.63	0.0453076	-1.41365	0.584907	-2.39292
0.64	0.0252004	-1.41414	0.55476	-2.39889
0.65	0.00545508	-1.41435	0.524277	-2.4048
0.66	-0.0139081	-1.41429	0.493468	-2.41066
0.67	-0.0328696	-1.41397	0.462343	-2.41645
0.68	-0.0514109	-1.41341	0.430913	-2.42217
0.69	-0.069514	-1.41263	0.399186	-2.4278
0.7	-0.0871619	-1.41165	0.367174	-2.43334
0.71	-0.104338	-1.41048	0.334886	-2.43876
0.72	-0.121028	-1.40914	0.302333	-2.44407
0.73	-0.137216	-1.40765	0.269524	-2.44923
0.74	-0.15289	-1.40602	0.236472	-2.45424
0.75	-0.168037	-1.40429	0.203188	-2.45908
0.76	-0.182646	-1.40246	0.169684	-2.46372
0.77	-0.196707	-1.40055	0.135972	-2.46815
0.78	-0.21021	-1.39858	0.102066	-2.47234
0.79	-0.22315	-1.39657	0.0679797	-2.47627
0.8	-0.235519	-1.39453	0.0337287	-2.47991
0.81	-0.247313	-1.39249	-0.000670895	-2.48324
0.82	-0.258529	-1.39044	-0.0352017	-2.48622
0.83	-0.269166	-1.38842	-0.0698452	-2.48883
0.84	-0.279225	-1.38643	-0.104581	-2.49103
0.85	-0.288707	-1.38448	-0.139389	-2.49281
0.86	-0.297619	-1.38259	-0.174244	-2.49412
0.87	-0.305965	-1.38076	-0.209124	-2.49493
0.88	-0.313756	-1.37901	-0.244001	-2.49521
0.89	-0.321002	-1.37734	-0.278848	-2.49494
0.9	-0.327718	-1.37575	-0.313636	-2.49407
0.91	-0.33392	-1.37426	-0.348333	-2.49258
0.92	-0.339626	-1.37286	-0.382908	-2.49045
0.93	-0.344859	-1.37155	-0.417326	-2.48764
0.94	-0.349641	-1.37034	-0.451552	-2.48413
0.95	-0.354	-1.36922	-0.485552	-2.47991
0.96	-0.357964	-1.36819	-0.519288	-2.47495
0.97	-0.361564	-1.36724	-0.552723	-2.46924
0.98	-0.364832	-1.36637	-0.58582	-2.46279
0.99	-0.367803	-1.36557	-0.618544	-2.45557
1	-0.370511	-1.36484	-0.650857	-2.4476
1.01	-0.372992	-1.36417	-0.682726	-2.43889
1.02	-0.375283	-1.36354	-0.714118	-2.42944
1.03	-0.377418	-1.36295	-0.745001	-2.41928
1.04	-0.379434	-1.36239	-0.775347	-2.40842
1.05	-0.381365	-1.36185	-0.80513	-2.39691
1.06	-0.383243	-1.36132	-0.834326	-2.38476
1.07	-0.385098	-1.36079	-0.862915	-2.37202
1.08	-0.386959	-1.36026	-0.890879	-2.35873
1.09	-0.388853	-1.35972	-0.918204	-2.34493
1.1	-0.390803	-1.35916	-0.944878	-2.33067
1.11	-0.39283	-1.35858	-0.970892	-2.31599
1.12	-0.394952	-1.35796	-0.996242	-2.30095
1.13	-0.397185	-1.35731	-1.02092	-2.28558
1.14	-0.399541	-1.35662	-1.04494	-2.26995
1.15	-0.40203	-1.35588	-1.06828	-2.2541
1.16	-0.40466	-1.3551	-1.09096	-2.23807
1.17	-0.407437	-1.35426	-1.11298	-2.22192
1.18	-0.410364	-1.35338	-1.13435	-2.20569
1.19	-0.413442	-1.35244	-1.15507	-2.18943
1.2	-0.416672	-1.35145	-1.17515	-2.17318
1.21	-0.42005	-1.3504	-1.19461	-2.15697
1.22	-0.423574	-1.3493	-1.21346	-2.14086
1.23	-0.427239	-1.34815	-1.23169	-2.12487
1.24	-0.43104	-1.34694	-1.24934	-2.10904
1.25	-0.434969	-1.34567	-1.2664	-2.09341
1.26	-0.43902	-1.34436	-1.28289	-2.078
1.27	-0.443185	-1.34299	-1.29883	-2.06285
1.28	-0.447454	-1.34157	-1.31422	-2.04799
1.29	-0.45182	-1.34011	-1.32907	-2.03344
1.3	-0.456273	-1.3386	-1.34341	-2.01923
1.31	-0.460803	-1.33705	-1.35723	-2.00538
1.32	-0.465402	-1.33545	-1.37055	-1.9919
1.33	-0.47006	-1.33382	-1.38338	-1.97884
1.34	-0.474767	-1.33215	-1.39574	-1.96619
1.35	-0.479513	-1.33045	-1.40762	-1.95398
1.36	-0.48429	-1.32872	-1.41904	-1.94222
1.37	-0.489089	-1.32696	-1.43002	-1.93093
1.38	-0.4939	-1.32518	-1.44055	-1.92013
1.39	-0.498715	-1.32337	-1.45065	-1.90982
1.4	-0.503526	-1.32155	-1.46032	-1.90002
1.41	-0.508324	-1.31971	-1.46958	-1.89074
1.42	-0.513103	-1.31786	-1.47842	-1.88199
1.43	-0.517855	-1.316	-1.48685	-1.87377
1.44	-0.522572	-1.31413	-1.49488	-1.8661
1.45	-0.527249	-1.31227	-1.50251	-1.85898
1.46	-0.531879	-1.3104	-1.50975	-1.85242
1.47	-0.536457	-1.30853	-1.51661	-1.84643
1.48	-0.540978	-1.30666	-1.52307	-1.841
1.49	-0.545436	-1.30481	-1.52915	-1.83615
1.5	-0.549827	-1.30297	-1.53485	-1.83187
1.51	-0.554147	-1.30113	-1.54017	-1.82817
1.52	-0.558393	-1.29932	-1.5451	-1.82506
1.53	-0.562561	-1.29752	-1.54966	-1.82253
1.54	-0.566649	-1.29574	-1.55384	-1.82058
1.55	-0.570654	-1.29398	-1.55763	-1.81922
1.56	-0.574574	-1.29224	-1.56104	-1.81844
1.57	-0.578407	-1.29053	-1.56406	-1.81825
1.58	-0.582153	-1.28884	-1.5667	-1.81863
1.59	-0.58581	-1.28719	-1.56894	-1.8196
1.6	-0.589377	-1.28556	-1.57079	-1.82114
1.61	-0.592855	-1.28396	-1.57224	-1.82325
1.62	-0.596243	-1.28239	-1.57328	-1.82592
1.63	-0.599541	-1.28085	-1.5739	-1.82916
1.64	-0.602751	-1.27934	-1.57411	-1.83296
1.65	-0.605872	-1.27786	-1.5739	-1.8373
1.66	-0.608906	-1.27642	-1.57325	-1.84219
1.67	-0.611854	-1.27501	-1.57217	-1.84761
1.68	-0.614716	-1.27363	-1.57063	-1.85355
1.69	-0.617495	-1.27229	-1.56864	-1.86
1.7	-0.620191	-1.27098	-1.56618	-1.86696
1.71	-0.622806	-1.2697	-1.56325	-1.87441
1.72	-0.625342	-1.26845	-1.55983	-1.88234
1.73	-0.627798	-1.26724	-1.55591	-1.89074
1.74	-0.630178	-1.26605	-1.55148	-1.89958
1.75	-0.632481	-1.26491	-1.54653	-1.90886
1.76	-0.634708	-1.26379	-1.54105	-1.91856
1.77	-0.63686	-1.26271	-1.53503	-1.92865
1.78	-0.638937	-1.26166	-1.52846	-1.93913
1.79	-0.640939	-1.26064	-1.52132	-1.94997
1.8	-0.642864	-1.25966	-1.51359	-1.96114
1.81	-0.644712	-1.25872	-1.50528	-1.97264
1.82	-0.64648	-1.25781	-1.49637	-1.98443
1.83	-0.648166	-1.25694	-1.48683	-1.9965
1.84	-0.649767	-1.25612	-1.47668	-2.00881
1.85	-0.651277	-1.25533	-1.46588	-2.02134
1.86	-0.652693	-1.2546	-1.45444	-2.03406
1.87	-0.654008	-1.25391	-1.44234	-2.04695
1.88	-0.655214	-1.25329	-1.42958	-2.05998
1.89	-0.656304	-1.25272	-1.41614	-2.07312
1.9	-0.657269	-1.25221	-1.40203	-2.08634
1.91	-0.658098	-1.25178	-1.38722	-2.09961
1.92	-0.658779	-1.25142	-1.37173	-2.11291
1.93	-0.659301	-1.25114	-1.35555	-2.1262
1.94	-0.65965	-1.25096	-1.33867	-2.13946
1.95	-0.65981	-1.25088	-1.3211	-2.15266
1.96	-0.659768	-1.2509	-1.30283	-2.16577
1.97	-0.659505	-1.25104	-1.28388	-2.17877
1.98	-0.659005	-1.2513	-1.26425	-2.19163
1.99	-0.658249	-1.2517	-1.24395	-2.20434
2	-0.65722	-1.25224	-1.22298	-2.21686
2.01	-0.655898	-1.25294	-1.20137	-2.22917
2.02	-0.654264	-1.25379	-1.17911	-2.24127
2.03	-0.652299	-1.25481	-1.15622	-2.25314
2.04	-0.649983	-1.25602	-1.13273	-2.26475
2.05	-0.647296	-1.2574	-1.10864	-2.2761
2.06	-0.64422	-1.25898	-1.08399	-2.28718
2.07	-0.640736	-1.26076	-1.05877	-2.29799
2.08	-0.636825	-1.26274	-1.03302	-2.3085
2.09	-0.632471	-1.26493	-1.00676	-2.31873
2.1	-0.627655	-1.26733	-0.980012	-2.32866
2.11	-0.622362	-1.26994	-0.95279	-2.33829
2.12	-0.616576	-1.27276	-0.92512	-2.34764
2.13	-0.610283	-1.27579	-0.897024	-2.35668
2.14	-0.60347	-1.27903	-0.868525	-2.36544
2.15	-0.596122	-1.28248	-0.839643	-2.37391
2.16	-0.588229	-1.28612	-0.810401	-2.38209
2.17	-0.579781	-1.28996	-0.78082	-2.38999
2.18	-0.570766	-1.29397	-0.75092	-2.39762
2.19	-0.561176	-1.29817	-0.720723	-2.40497
2.2	-0.551004	-1.30252	-0.690249	-2.41205
2.21	-0.540242	-1.30703	-0.659516	-2.41888
2.22	-0.528886	-1.31167	-0.628545	-2.42544
2.23	-0.51693	-1.31643	-0.597353	-2.43175
2.24	-0.50437	-1.3213	-0.565959	-2.43781
2.25	-0.491205	-1.32626	-0.53438	-2.44362
2.26	-0.477432	-1.33128	-0.502633	-2.44919
2.27	-0.463051	-1.33636	-0.470735	-2.45452
2.28	-0.448063	-1.34147	-0.438702	-2.4596
2.29	-0.43247	-1.34658	-0.406551	-2.46445
2.3	-0.416275	-1.35168	-0.374296	-2.46906
2.31	-0.399481	-1.35675	-0.341953	-2.47342
2.32	-0.382095	-1.36175	-0.309537	-2.47754
2.33	-0.364123	-1.36668	-0.277063	-2.48142
2.34	-0.345572	-1.37149	-0.244546	-2.48505
2.35	-0.326454	-1.37618	-0.211999	-2.48843
2.36	-0.306777	-1.3807	-0.179437	-2.49155
2.37	-0.286554	-1.38505	-0.146876	-2.49441
