Time	x	y	vx	vy
0	0	-1	0	0
0.1	0.00938089	-0.999956	0.265911	0.00249459
0.2	0.0623305	-0.998056	0.802117	0.0500938
0.3	0.166736	-0.986002	1.25444	0.21213
0.4	0.304493	-0.952515	1.45396	0.46479
0.5	0.448303	-0.893882	1.38386	0.694041
0.6	0.574859	-0.818253	1.12464	0.79011
0.7	0.670309	-0.742082	0.78438	0.708515
0.8	0.731549	-0.681789	0.43789	0.469849
0.9	0.7588	-0.651324	0.112027	0.130513
1	0.753905	-0.656984	-0.213467	-0.244959
1.1	0.714941	-0.699184	-0.575889	-0.588867
1.2	0.636406	-0.771354	-1.00213	-0.826811
1.3	0.512958	-0.858414	-1.47531	-0.881597
1.4	0.342035	-0.939687	-1.91995	-0.69884
1.5	0.134211	-0.990953	-2.20016	-0.297981
1.6	-0.0878018	-0.996138	-2.18702	0.192769
1.7	-0.291777	-0.956487	-1.83982	0.561237
1.8	-0.447167	-0.89445	-1.23802	0.618932
1.9	-0.534278	-0.845309	-0.491113	0.310408
2	-0.542358	-0.840148	0.349035	-0.22532
2.1	-0.461216	-0.887288	1.27387	-0.662166
2.2	-0.299044	-0.954239	1.83834	-0.576107
2.3	-0.125171	-0.992135	1.52265	-0.192101
2.4	-0.00331475	-0.999995	0.915064	-0.00303322
2.5	0.0620546	-0.998073	0.419247	0.0260665
2.6	0.0860142	-0.996294	0.0841232	0.00726271
2.7	0.0833423	-0.996521	-0.118626	-0.00992104
2.8	0.0656358	-0.997844	-0.229364	-0.015087
2.9	0.039517	-0.999219	-0.280537	-0.0110947
3	0.0102119	-0.999948	-0.299333	-0.00305692
3.1	-0.0194542	-0.999811	-0.288401	0.00561167
3.2	-0.0461818	-0.998933	-0.236135	0.0109168
3.3	-0.0645674	-0.997913	-0.114757	0.00742504
3.4	-0.0654198	-0.997858	0.115101	-0.00754602
3.5	-0.0364534	-0.999335	0.490697	-0.0178995
3.6	0.0382667	-0.999268	1.02846	0.0393846
3.7	0.171624	-0.985162	1.62016	0.282246
3.8	0.346117	-0.938192	1.72147	0.635082
3.9	0.485598	-0.874182	0.980398	0.5446
4	0.537432	-0.843307	0.0679561	0.0433078
4.1	0.502586	-0.864527	-0.748861	-0.435344
4.2	0.390907	-0.92043	-1.46439	-0.621926
4.3	0.215911	-0.976413	-1.99522	-0.441196
4.4	0.00199217	-0.999998	-2.22765	-0.00443788
4.5	-0.217909	-0.975969	-2.12372	0.474172
4.6	-0.414277	-0.910151	-1.76646	0.804049
4.7	-0.567615	-0.823294	-1.29853	0.89526
4.8	-0.674164	-0.738581	-0.836116	0.763192
4.9	-0.737124	-0.675757	-0.435997	0.475591
5	-0.763265	-0.646086	-0.0931225	0.110012
5.1	-0.7565	-0.653993	0.226963	-0.262537
5.2	-0.717229	-0.696837	0.55858	-0.574927
5.3	-0.64432	-0.764756	0.906018	-0.763335
5.4	-0.536652	-0.843804	1.22823	-0.781146
5.5	-0.402305	-0.915506	1.43127	-0.628948
5.6	-0.258307	-0.966063	1.40996	-0.376997
5.7	-0.129901	-0.991527	1.11405	-0.145953
5.8	-0.0427092	-0.999088	0.610969	-0.0261178
5.9	-0.00693959	-0.999976	0.143651	-0.000996905
6	0.000271603	-1	0.0904141	2.45568e-05
6.1	0.027498	-0.999622	0.506189	0.0139244
6.2	0.104939	-0.994479	1.03025	0.108714
6.3	0.22759	-0.973757	1.38146	0.32288
6.4	0.371876	-0.928282	1.45879	0.584403
6.5	0.511097	-0.859523	1.29253	0.768575
6.6	0.625466	-0.780251	0.984577	0.789258
6.7	0.706429	-0.707784	0.634639	0.633423
6.8	0.75302	-0.657997	0.297825	0.340835
6.9	0.766669	-0.642043	-0.0214186	-0.0255761
7	0.748268	-0.663397	-0.355058	-0.400482
7.1	0.693878	-0.720092	-0.74059	-0.71363
7.2	0.597838	-0.801617	-1.19008	-0.887553
7.3	0.455055	-0.890463	-1.66412	-0.850418
7.4	0.267324	-0.963607	-2.05717	-0.5707
7.5	0.0512816	-0.998684	-2.22415	-0.114208
7.6	-0.16596	-0.986132	-2.06022	0.346723
7.7	-0.35018	-0.936682	-1.58136	0.591193
7.8	-0.47488	-0.880051	-0.889321	0.479882
7.9	-0.524286	-0.851542	-0.0824719	0.0507771
8	-0.488093	-0.872792	0.819535	-0.45831
8.1	-0.362881	-0.931836	1.61393	-0.628506
8.2	-0.19296	-0.981207	1.62765	-0.320086
8.3	-0.0571459	-0.998366	1.05746	-0.0605284
8.4	0.0195496	-0.999809	0.499312	0.00976322
8.5	0.0483037	-0.998833	0.103036	0.00498284
8.6	0.0453074	-0.998973	-0.139928	-0.00634627
8.7	0.0245046	-0.9997	-0.265299	-0.00650298
8.8	-0.00506976	-0.999987	-0.310831	0.00157586
8.9	-0.0364282	-0.999336	-0.310833	0.0113306
9	-0.0661725	-0.997808	-0.278812	0.0184902
9.1	-0.0913839	-0.995816	-0.216655	0.019882
9.2	-0.108013	-0.99415	-0.104645	0.0113695
9.3	-0.109458	-0.993991	0.0913274	-0.0100569
9.4	-0.0855904	-0.99633	0.410451	-0.03526
9.5	-0.0220712	-0.999756	0.8841	-0.0195179
9.6	0.0962258	-0.99536	1.49197	0.144236
9.7	0.270592	-0.962694	1.90008	0.534071
9.8	0.445738	-0.895163	1.45072	0.722373
9.9	0.545007	-0.838432	0.525353	0.341496
10	0.553886	-0.832593	-0.329065	-0.218912
