Time	x	y	vx	vy
0	0	-1	0	0
0.1	0.023824	-0.999716	0.632848	0.0150812
0.2	0.130597	-0.991436	1.44521	0.19037
0.3	0.297464	-0.954733	1.81463	0.565382
0.4	0.479418	-0.877587	1.76502	0.964213
0.5	0.641451	-0.767164	1.43717	1.20167
0.6	0.760814	-0.64897	0.931202	1.09169
0.7	0.826162	-0.563433	0.380047	0.557263
0.8	0.838274	-0.54525	-0.136937	-0.210529
0.9	0.796236	-0.604986	-0.731909	-0.963283
1	0.684407	-0.7291	-1.54005	-1.44564
1.1	0.486772	-0.873529	-2.37133	-1.32142
1.2	0.228672	-0.973503	-2.66885	-0.626902
1.3	-0.0234804	-0.999724	-2.27622	0.0534612
1.4	-0.212683	-0.977121	-1.47373	0.320776
1.5	-0.319509	-0.947583	-0.725076	0.244483
1.6	-0.378656	-0.925537	-0.558376	0.228443
1.7	-0.442393	-0.896821	-0.721795	0.356054
1.8	-0.517765	-0.855523	-0.750351	0.454115
1.9	-0.586022	-0.810295	-0.590928	0.427371
2	-0.632455	-0.774597	-0.332915	0.271823
2.1	-0.651614	-0.758551	-0.051082	0.0438807
2.2	-0.643507	-0.76544	0.21048	-0.176951
2.3	-0.611423	-0.791304	0.42116	-0.325421
2.4	-0.56124	-0.827653	0.57775	-0.391778
2.5	-0.494371	-0.869251	0.785556	-0.44677
2.6	-0.395328	-0.91854	1.24451	-0.535621
2.7	-0.237537	-0.971378	1.92593	-0.470959
2.8	-0.0134309	-0.99991	2.50344	-0.0336266
2.9	0.246186	-0.969223	2.58256	0.655979
3	0.481997	-0.876173	2.05244	1.12908
3.1	0.648268	-0.761412	1.26874	1.0802
3.2	0.739293	-0.673384	0.580274	0.637071
3.3	0.769875	-0.638194	0.0552101	0.0666018
3.4	0.753836	-0.657062	-0.364527	-0.418215
3.5	0.698852	-0.715267	-0.729782	-0.713034
3.6	0.608836	-0.793296	-1.06353	-0.816233
3.7	0.488443	-0.872596	-1.325	-0.741678
3.8	0.350204	-0.936673	-1.3924	-0.520591
3.9	0.222158	-0.975011	-1.0981	-0.250204
4	0.144596	-0.989491	-0.406049	-0.0593366
4.1	0.132135	-0.991232	-0.0296223	-0.00394878
4.2	0.0936996	-0.995601	-0.857472	-0.0806998
4.3	-0.0402284	-0.999191	-1.76359	0.071004
4.4	-0.243654	-0.969862	-2.2221	0.558248
4.5	-0.468421	-0.883505	-2.19513	1.16383
4.6	-0.667597	-0.744523	-1.71697	1.53957
4.7	-0.802087	-0.597207	-0.963722	1.29434
4.8	-0.864743	-0.502215	-0.324146	0.558133
4.9	-0.871887	-0.489706	0.175412	-0.312309
5	-0.82649	-0.562952	0.768607	-1.12842
5.1	-0.708803	-0.705407	1.62467	-1.6325
5.2	-0.502542	-0.864553	2.43384	-1.41473
5.3	-0.243768	-0.969834	2.6224	-0.659141
5.4	0.000804175	-1	2.1771	0.00175077
5.5	0.176779	-0.984251	1.29115	0.2319
5.6	0.256741	-0.96648	0.370691	0.0984723
5.7	0.280832	-0.959757	0.291657	0.085341
5.8	0.332998	-0.942927	0.747696	0.264052
5.9	0.421309	-0.906917	0.962762	0.447252
6	0.51555	-0.85686	0.886043	0.533108
6.1	0.59305	-0.805165	0.650994	0.479494
6.2	0.644374	-0.764711	0.37206	0.313512
6.3	0.668198	-0.743983	0.108297	0.0972655
6.4	0.666939	-0.745112	-0.132385	-0.118496
6.5	0.640915	-0.767612	-0.40186	-0.335532
6.6	0.581599	-0.813476	-0.814164	-0.582091
6.7	0.470584	-0.882355	-1.43636	-0.766049
6.8	0.290857	-0.956767	-2.15503	-0.655129
6.9	0.0474395	-0.998874	-2.64069	-0.125414
7	-0.217075	-0.976155	-2.54031	0.564908
7.1	-0.442661	-0.896689	-1.91603	0.945873
7.2	-0.596228	-0.802815	-1.16386	0.864363
7.3	-0.680242	-0.732987	-0.547704	0.508292
7.4	-0.711985	-0.702195	-0.113316	0.114896
7.5	-0.706805	-0.707408	0.205175	-0.205
7.6	-0.671996	-0.740555	0.49003	-0.444664
7.7	-0.608469	-0.793578	0.780038	-0.598088
7.8	-0.516793	-0.85611	1.04098	-0.628391
7.9	-0.404882	-0.914369	1.16253	-0.514766
8	-0.294384	-0.955687	0.986019	-0.303727
8.1	-0.220911	-0.975294	0.430803	-0.0975798
8.2	-0.204942	-0.978774	0.0266425	-0.00557859
8.3	-0.172501	-0.985009	0.77333	-0.13543
8.4	-0.043371	-0.999059	1.77027	-0.0768507
8.5	0.168101	-0.98577	2.37784	0.405487
8.6	0.41473	-0.909945	2.46186	1.12205
8.7	0.640797	-0.76771	1.96167	1.63738
8.8	0.794098	-0.607789	1.09766	1.43413
8.9	0.866794	-0.498666	0.402304	0.699295
9	0.881371	-0.472424	-0.0970632	-0.181084
9.1	0.845506	-0.533965	-0.651506	-1.03163
9.2	0.742076	-0.670316	-1.45909	-1.61529
9.3	0.553192	-0.833054	-2.26367	-1.5032
9.4	0.308237	-0.95131	-2.53041	-0.819887
9.5	0.0665044	-0.997786	-2.21362	-0.147542
9.6	-0.118113	-0.993	-1.40943	0.167646
9.7	-0.206973	-0.978347	-0.381917	0.0807961
9.8	-0.219864	-0.97553	-0.0979034	0.0220654
9.9	-0.257444	-0.966293	-0.682825	0.181921
10	-0.348335	-0.93737	-1.0702	0.397697
